,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Bodegas,Departamentos por piso,Orientación,Número de piso de la unidad,Cantidad de pisos
20,Departamento Amoblado (bersa),Departamento,Publicado hace 8 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,34 UF/m²","0,33 UF/m²",80 m²,75 m²,2,2,1,,,,,,,
21,Departamento Amoblado (bersa),Departamento,Publicado hace 8 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,34 UF/m²","0,33 UF/m²",80 m²,75 m²,2,2,1,,,,,,,
22,Departamento Amoblado (bersa),Departamento,Publicado hace 8 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",800.000,,"0,34 UF/m²","0,33 UF/m²",80 m²,75 m²,2,2,1,,,,,,,
23,Arriendo Departamento Comuna Las Condes,Departamento,Publicado hace 8 días,2021-07-01,"Cerro Colorado 6000 - 6300, Parque Arauco, Las Condes, RM (Metropolitana)",580.000,,"0,33 UF/m²",,60 m²,60 m²,1,1,1,,,,,,,
24,Estupendo Departamento Lado Colegio Sek Amoblado,Departamento,Publicado hace 8 días,2021-07-01,"Estocolmo 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.200.000,,"0,32 UF/m²","0,28 UF/m²",127 m²,120 m²,3,3,1,,,,,,,
25,Excelente Departamento Frente A Club De Golf Amoblado,Departamento,Publicado hace 8 días,2021-07-01,"San Francisco De Asís 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",660.000,,"0,42 UF/m²","0,37 UF/m²",53 m²,50 m²,1,1,1,,,,,,,
26,"Espectacular, Remodelado, Barrio El Golf",Departamento,Publicado hace 8 días,2021-07-01,"Las Torcazas 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.150.000,,"0,39 UF/m²","0,33 UF/m²",100 m²,100 m²,2,2,1,,,,,,,
27,"Amplio Departamento, En El Corazón Del Barrio El Golf.",Departamento,Publicado hace 8 días,2021-07-01,"Isidora Goyenechea 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",950.000,,"0,15 UF/m²","0,26 UF/m²",220 m²,180 m²,3,3,2,,,,,,,
28,Departamento ,Departamento,Publicado hace 8 días,2021-07-01,"Evaristo Lillo 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",280.000,,"0,31 UF/m²","0,37 UF/m²",30 m²,30 m²,1,1,,,,,,,,
29,Amoblado - Metro Los Dominicos,Departamento,Publicado hace 8 días,2021-07-01,"Augusta Gerona 1500 - 1800, Los Dominicos, Las Condes, RM (Metropolitana)",950.000,,"0,32 UF/m²","0,29 UF/m²",101 m²,90 m²,3,2,2,,,,,,,
30,Vista ; Luminoso; Comodo,Departamento,Publicado hace 8 días,2021-07-01,"San Francisco De Asís 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",630.000,,"0,35 UF/m²",,60 m²,55 m²,1,1,1,,,,,,,
31,"Hermoso Depto, Linda Vista, Amoblado, 2 Dormitorios",Departamento,Publicado hace 8 días,2021-07-01,"Avenida Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",840.000,,"0,35 UF/m²","0,33 UF/m²",80 m²,80 m²,2,2,1,,,,,,,
32,Hermoso Departamento A Estrenar En Torre Nk Bersa,Departamento,Publicado hace 8 días,2021-07-01,"Avenida Manquehue Norte 966, Parque Arauco, Las Condes, RM (Metropolitana)",850.000,,"0,37 UF/m²","0,33 UF/m²",78 m²,65 m²,2,2,1,130000 CLP,,,,,,
33,Metro Escuela Militar 1d 1b Est Y Bod ,Departamento,Publicado hace 8 días,2021-07-01,"Luis Rodríguez Velasco 4500 - 4800, Metro Escuela Militar, Las Condes, RM (Metropolitana)",425.000,,"0,41 UF/m²","0,37 UF/m²",35 m²,35 m²,1,1,1,,,,,,,
34,Presidente Riesco - Escuela Militar (disponible 15 De Junio),Departamento,Publicado hace 8 días,2021-07-01,"Presidente Riesco 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",560.000,,"0,42 UF/m²","0,37 UF/m²",45 m²,40 m²,1,1,1,,,,,,,
35,Excelente Ubicación!,Departamento,Publicado hace 8 días,2021-07-01,"Los Militares 4500 - 4800, Metro Escuela Militar, Las Condes, RM (Metropolitana)",430.000,,"0,32 UF/m²","0,37 UF/m²",45 m²,40 m²,1,1,1,90000 CLP,,,,,,
36,"Departamento En Arriendo, Las Condes ",Departamento,Publicado hace 8 días,2021-07-01,"Luis Zegers 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",690.000,,"0,31 UF/m²","0,26 UF/m²",75 m²,65 m²,3,3,1,,,,,,,
37,Impecable Y Acogedor Departamento A Pasos Del Mall Sport,Departamento,Publicado hace 8 días,2021-07-01,"San Jose De La Sierra 12600 - 12900, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",990.000,,"0,42 UF/m²","0,33 UF/m²",80 m²,80 m²,2,2,2,,,,,,,
38,Dpto 2d/2b Luz - Pdte Riesco - Costanera Center,Departamento,Publicado hace 8 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",670.000,,"0,26 UF/m²","0,33 UF/m²",87 m²,87 m²,2,2,1,,,,,,,
39,Dpto 2d/2b Luz - Pdte Riesco - Costanera Center,Departamento,Publicado hace 8 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",670.000,,"0,26 UF/m²","0,33 UF/m²",87 m²,87 m²,2,2,1,,,,,,,
40,Amoblado / Metro Alcantara/ Hamlet,Departamento,Publicado hace 8 días,2021-07-01,"Hamlet 3900 - 4200, Barrio El Golf, Las Condes, RM (Metropolitana)",650.000,,"0,49 UF/m²","0,37 UF/m²",45 m²,40 m²,1,1,1,,,,,,,
41,Departamento Amoblado De Un Dormitorio. Excelente Ubicación,Departamento,Publicado hace 7 días,2021-07-01,"Américo Vespucio Norte 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",400.000,,"0,28 UF/m²","0,37 UF/m²",48 m²,40 m²,1,1,,90000 CLP,,,,,,
42,"Depto A Pasos Del Metro, Costanera Center",Departamento,Publicado hace 7 días,2021-07-01,"Zurich 1 - 300, Centro Financiero, Las Condes, RM (Metropolitana)",820.000,,"0,23 UF/m²","0,28 UF/m²",119 m²,115 m²,3,3,2,,,,,,,
43,Pasos Metro.agradable Depto Con Estacionamiento Y Bodega ,Departamento,Publicado hace 7 días,2021-07-01,"Hamlet 4200 - 4500, Metro Escuela Militar, Las Condes, RM (Metropolitana)",465.000,,"0,31 UF/m²","0,37 UF/m²",50 m²,50 m²,1,1,1,,,,,,,
44,Lindo Departamento  El Golf - Las Condes,Departamento,Publicado hace 7 días,2021-07-01,"Benjamin 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",1.560.000,,"0,33 UF/m²","0,28 UF/m²",160 m²,140 m²,3,3,1,,,,,,,
45,Hermanos Cabot - Gerónimo De Alderete,Departamento,Publicado hace 7 días,2021-07-01,"Hermanos Cabot 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",1.350.000,,"0,28 UF/m²","0,24 UF/m²",160 m²,160 m²,3,3,2,,,,,,,
46,Bergen - Noruega,Departamento,Publicado hace 7 días,2021-07-01,"Bergen 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",480.000,,"0,4 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,,,,,,,
47,Departamento Nuevo Sin Uso,Departamento,Publicado hace 7 días,2021-07-01,"Avenida Las Condes 12911 - Departamento 519, Mall Sport, Las Condes, RM (Metropolitana)",580.000,,"0,33 UF/m²",,60 m²,60 m²,1,1,1,70000 CLP,,,,,,
48,Gran Departamento Excelente Ubicación,Departamento,Publicado hace 7 días,2021-07-01,"Paul Harris 900 - 1200, Los Dominicos, Las Condes, RM (Metropolitana)",625.000,,"0,28 UF/m²","0,29 UF/m²",75 m²,75 m²,3,2,1,70000 CLP,,,,,,
49,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
50,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
51,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
52,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
53,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
54,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
55,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
56,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
57,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
58,"Precioso Departamento, En Excelente Ubicación",Departamento,Publicado hace 7 días,2021-07-01,"Avenida Manquehue Sur 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",430.000,,"0,31 UF/m²","0,37 UF/m²",46 m²,46 m²,1,1,1,82000 CLP,,,,,,
59,Bello Horizonte Con Colon.,Departamento,Publicado hace 7 días,2021-07-01,"Bello Horizonte 933 - Departamento 1200 - 1500, Rotonda Atenas, Las Condes, RM (Metropolitana)",590.000,,"0,33 UF/m²","0,41 UF/m²",60 m²,55 m²,2,2,1,,,,,,,
60,Lindo Departamento El Golf,Departamento,Publicado hace 7 días,2021-07-01,"Luz 1800 - 2100, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",750.000,,"0,25 UF/m²","0,33 UF/m²",103 m²,98 m²,2,2,1,100000 CLP,,,,,,
61,Precioso Departamento Almagro 2014 Sector Pdte Riesco,Departamento,Publicado hace 7 días,2021-07-01,"Oscar Tenhann 600 - 900, Parque Arauco, Las Condes, RM (Metropolitana)",30,891.384,"0,28 UF/m²","0,26 UF/m²",108 m²,98 m²,3,3,2,170000 CLP,,,,,,
62,Se Arrienda Departamento 1d1b1est Hamlet Las Condes,Departamento,Publicado hace 7 días,2021-07-01,"Hamlet 4340, Metro Escuela Militar, Las Condes, RM (Metropolitana)",650.000,,"0,33 UF/m²","0,32 UF/m²",67 m²,55 m²,1,1,1,,,,,,,
63,4 Dorm. En Suite - Amplios Espacios - Entrega Inmediata,Departamento,,2021-07-01,"Gertrudis Echenique 165 - Departamento 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",68,2.020.470,"0,2 UF/m²","0,24 UF/m²",345 m²,300 m²,4,4,2,,,,,,,
64,Balmoral / Saturno / Amoblado,Departamento,Publicado hace 7 días,2021-07-01,"Saturno 5700 - 6000, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.400.000,,"0,17 UF/m²","0,26 UF/m²",272 m²,121 m²,3,3,2,200000 CLP,,,,,,
65,Estupendo Departamento ,Departamento,Publicado hace 7 días,2021-07-01,"Presidente Kennedy 5700 - 6000, Parque Arauco, Las Condes, RM (Metropolitana)",580.000,,"0,39 UF/m²","0,37 UF/m²",50 m²,40 m²,1,1,1,,,,,,,
66,Remodelado En El Mejor Sector Del Golf - Sin Muebles,Departamento,Publicado hace 7 días,2021-07-01,"Carmencita 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.050.000,,"0,2 UF/m²","0,24 UF/m²",180 m²,165 m²,4,4,2,,,,,,,
67,Espectacular Vista Despejada Al Oriente,Departamento,Publicado hace 7 días,2021-07-01,"Calle San José De La Sierra 1 - 300, Mall Sport, Las Condes, RM (Metropolitana)",620.000,,"0,37 UF/m²","0,37 UF/m²",56 m²,48 m²,1,1,1,130000 CLP,,,,,,
68,Bergen - Noruega,Departamento,Publicado hace 7 días,2021-07-01,"Bergen 1 - 300, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",460.000,,"0,39 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,,,,,,,
69,Departamento Barrio El Golf,Departamento,Publicado hace 7 días,2021-07-01,"San Crescente 280 - Departamento 1202, Barrio El Golf, Las Condes, RM (Metropolitana)",1.400.000,,"0,34 UF/m²","0,28 UF/m²",140 m²,140 m²,4,3,2,220000 CLP,,,,,,
70,Felix De Amesti 2 Dormitórios 2 Baños + Estacionamiento ,Departamento,Publicado hace 7 días,2021-07-01,"Félix De Amesti 422, Metro Escuela Militar, Las Condes, RM (Metropolitana)",530.000,,"0,22 UF/m²","0,33 UF/m²",81 m²,78 m²,2,2,1,70000 CLP,,,,,,
71,Lado Metro Escuela Militar ,Departamento,Publicado hace 7 días,2021-07-01,"Evaristo Lillo 140, Metro Escuela Militar, Las Condes, RM (Metropolitana)",460.000,,"0,21 UF/m²","0,33 UF/m²",75 m²,75 m²,2,2,1,110000 CLP,,,,,,
72,Versalles / El Golf / Las Condes,Departamento,Publicado hace 7 días,2021-07-01,"Versalles 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",25,742.820,"0,23 UF/m²","0,26 UF/m²",110 m²,90 m²,3,3,1,135000 CLP,,,,,,
73,Arriendo Amplio Y Luminoso Departamento En Barrio El Golf,Departamento,Publicado hace 7 días,2021-07-01,"Avenida Apoquindo 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",720.000,,"0,18 UF/m²","0,27 UF/m²",132 m²,120 m²,3,2,1,120000 CLP,,,,,,
74,"Impecable, Amoblado, Linda Ubicacion, Espacioso",Departamento,Publicado hace 7 días,2021-07-01,"Estocolmo 300 - 600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",1.200.000,,"0,31 UF/m²","0,28 UF/m²",130 m²,120 m²,3,3,1,,,,,,,
75,"Pedro De Valdivia,  Av Pocuro $660.000 Con Gastos Comunes ",Departamento,Publicado hace 7 días,2021-07-01,"California 1800 - 2100, Inés de Suárez, Providencia, RM (Metropolitana)",550.000,,"0,23 UF/m²","0,28 UF/m²",80 m²,70 m²,2,2,1,,,,,,,
76,Excelente Ubicación,Departamento,Publicado hace 7 días,2021-07-01,"Av Cristobal Colon 3600 - 3900, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",580.000,,"0,24 UF/m²","0,29 UF/m²",80 m²,80 m²,3,2,1,,,,,,,
77,Isidora Goyenechea/luz ,Departamento,Publicado hace 7 días,2021-07-01,"Luz 2700 - 3000, Centro Financiero, Las Condes, RM (Metropolitana)",850.000,,"0,22 UF/m²","0,28 UF/m²",130 m²,130 m²,4,3,3,120000 CLP,,,,,,
78,"Estupendo, Amplio Y Cómodo Departamento En Barrio El Golf- ",Departamento,Publicado hace 7 días,2021-07-01,"Avenida El Golf 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",1.600.000,,"0,23 UF/m²","0,24 UF/m²",230 m²,170 m²,4,4,2,450000 CLP,,,,,,
79,"Arriendo Departamento Barrio El Golf, Las Condes.-",Departamento,Publicado hace 7 días,2021-07-01,"Versalles 3000 - 3300, Barrio El Golf, Las Condes, RM (Metropolitana)",25,742.820,"0,28 UF/m²","0,33 UF/m²",90 m²,90 m²,2,2,1,,,,,,,
80,Departamento Luminoso En Un Excelente Estado De Mantención.,Departamento,Publicado hace 7 días,2021-07-01,"Luz 2700 - 3000, Barrio El Golf, Las Condes, RM (Metropolitana)",1.100.000,,"0,25 UF/m²","0,27 UF/m²",150 m²,130 m²,3,2,1,151700 CLP,,,,,,
81,Maravilloso Departamento Con Terrazas En Arriendo,Departamento,Publicado hace 6 días,2021-07-01,"Avenida Los Tuliperos Sur 12900 - 13200, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)",2.500.000,,"0,23 UF/m²","0,26 UF/m²",360 m²,298 m²,3,3,2,900000 CLP,,,,,,
82,Renato Sanchez-san Crescente,Departamento,Publicado hace 6 días,2021-07-01,"Renato Sánchez 3300 - 3600, Barrio El Golf, Las Condes, RM (Metropolitana)",44,1.307.363,"0,26 UF/m²","0,27 UF/m²",169 m²,139 m²,4,2,2,300000 CLP,,,,,,
83,"Parque Arauco, 3 Dormitorios + Servicios, 2 Estacionamientos",Departamento,Publicado hace 6 días,2021-07-01,"Cerro Colorado 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",945.000,,"0,2 UF/m²","0,28 UF/m²",157 m²,145 m²,3,3,2,165000 CLP,,,,,,
84,Excelente Departamento,Departamento,Publicado hace 6 días,2021-07-01,"Alcántara 1500 - 1800, Vaticano, Las Condes, RM (Metropolitana)",450.000,,"0,25 UF/m²",,60 m²,60 m²,2,1,1,80000 CLP,,,,,,
85,Departamento En Apoquindo / Av. Las Condes / Metro Manquehue,Departamento,,2021-07-01,"Ibsen 6300 - 6600, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",32,950.810,"0,26 UF/m²","0,28 UF/m²",123 m²,110 m²,3,3,2,130000 CLP,12 años,,,,,
86,"Parque Arauco, 3 Dorm. + Serv., 2 Parking, Piso Flotante",Departamento,Publicado hace 6 días,2021-07-01,"Cerro Colorado 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",945.000,,"0,2 UF/m²","0,28 UF/m²",157 m²,145 m²,3,3,2,165000 CLP,,,,,,
87,Lo Fontecilla/clinica Las Condes,Departamento,Publicado hace 6 días,2021-07-01,"Lo Fontecilla 1 - 300, Estoril, Las Condes, RM (Metropolitana)",16,490.261,"0,41 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,1,70000 CLP,,,,,,
88,"Parque Arauco / Cerro Colorado, 3 Dorm. + Serv., 2 Parking",Departamento,Publicado hace 6 días,2021-07-01,"Cerro Colorado 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",945.000,,"0,2 UF/m²","0,28 UF/m²",157 m²,145 m²,3,3,2,165000 CLP,,,,,,
89,Amoblado / Disponibilidad Inmediata,Departamento,Publicado hace 6 días,2021-07-01,"Augusto Leguía Sur 1 - 300, Barrio El Golf, Las Condes, RM (Metropolitana)",420.000,,"0,35 UF/m²","0,37 UF/m²",40 m²,40 m²,1,1,,,,,,,,
90,Depto Nuevo / Semi Amoblado / San Francisco De Asis,Departamento,Publicado hace 6 días,2021-07-01,"Camino San Francisco De Asis 1 - 300, San Damián, Las Condes, RM (Metropolitana)",24,713.107,"0,46 UF/m²","0,41 UF/m²",52 m²,52 m²,2,2,1,,,,,,,
91,Republica Arabe De Egipto / Director,Departamento,Publicado hace 6 días,2021-07-01,"Rep Árabe De Egipto 600 - 900, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)",500.000,,"0,37 UF/m²","0,37 UF/m²",46 m²,40 m²,1,1,1,,,,,,,
92,"Parque Arauco / Cerro La Parva, 3 Dormitorios",Departamento,Publicado hace 6 días,2021-07-01,"Cerro Colorado 4500 - 4800, Parque Arauco, Las Condes, RM (Metropolitana)",890.000,,"0,19 UF/m²","0,28 UF/m²",155 m²,140 m²,3,3,1,165000 CLP,,,,,,
93,La Gloria / Apoquindo,Departamento,Publicado hace 6 días,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",520.000,,"0,38 UF/m²","0,38 UF/m²",46 m²,42 m²,2,2,1,,,,,,,
94,La Gloria / Apoquindo,Departamento,Publicado hace 6 días,2021-07-01,"La Gloria 1 - 300, Metro Escuela Militar, Las Condes, RM (Metropolitana)",500.000,,"0,37 UF/m²","0,38 UF/m²",46 m²,42 m²,2,2,,,,,,,,
