,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Cantidad de pisos,Ambientes,Bodegas,Orientación
39,"Santa Cecilia, Disponible Para Diciembre ",Casa,Publicado hace 8 días,2021-07-01,"Santa Cecilia 1 - 300, Chicureo, Colina, RM (Metropolitana)",1.700.000,,"0,02 UF/m²",,2500 m²,200 m²,4,4,5,,,,,,
40,Moderna Casa Piedra Roja,Casa,Publicado hace 7 días,2021-07-01,"Los Bosques - Piedra Roja 1 - 300, Chicureo, Colina, RM (Metropolitana)",3.400.000,,"0,12 UF/m²","0,1 UF/m²",1000 m²,330 m²,5,5,,130000 CLP,,,,,
41,Hermosa Casa 2p-5d-5b Salón En Subt Jacuzzi Piscina Quincho,Casa,Publicado hace 2 días,2021-07-01,"Los Bosques $2300000 000, Chicureo, Colina, RM (Metropolitana)",2.300.000,,"0,08 UF/m²","0,08 UF/m²",1000 m²,250 m²,5,5,2,,,,,,
42,Hermosa Casa 2p-5d-5b Salón En Subt Jacuzzi Piscina Quincho,Casa,Publicado hace 2 días,2021-07-01,"Los Bosques $231 - 30000 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.300.000,,"0,08 UF/m²","0,08 UF/m²",1000 m²,250 m²,5,5,,,,,,,
43,Hermosa Casa 2p-5d-5b Salón En Subt Jacuzzi Piscina Quincho,Casa,Publicado hace 2 días,2021-07-01,"Los Bosques $231 - 30000 1 - 300, Chicureo, Colina, RM (Metropolitana)",2.300.000,,"0,08 UF/m²","0,08 UF/m²",1000 m²,250 m²,5,5,,,,,,,
44,Hermosa Casa Con Valor Histórico  Cerca Del Parque,Casa,Publicado hace 21 días,2021-07-01,"Orompello 1 - 300, Centro de Concepción, Concepción, Biobío",125,3.714.100,,,1200 m²,650 m²,5,12,5,,68 años,,,,
45,"Curacavi, Arriendo Gran Casa Costado Ruta 68. ",Casa,Publicado hace 51 días,2021-07-01,"Ruta 68 36, Miraflores, Curacaví, RM (Metropolitana)",41,1.218.225,"0,04 UF/m²",,1000 m²,240 m²,4,3,,,,,,,
46,Casa En Arriendo A Pasos De La Av Principal De Curacavi,Casa,Publicado hace 36 días,2021-07-01,"Ambrosio O'higgins 1 - 300, Centro de Curacaví, Curacaví, RM (Metropolitana)",490.000,,"0,06 UF/m²",,300 m²,85 m²,2,2,2,,,,,,
47,Acogedora Casa En Arriendo En  Villa Los  Conquistadores,Casa,Publicado hace 29 días,2021-07-01,"Obispo Manuel Muñoz 1800 - 2100, Centro de Curacaví, Curacaví, RM (Metropolitana)",350.000,,"0,1 UF/m²",,120 m²,80 m²,3,2,1,,,,,,
48,Hermosa  Casa Moderna En Arriendo En Camino A Pangue,Casa,Publicado hace 22 días,2021-07-01,"Alhué 1 - 300, Centro de Curacaví, Curacaví, RM (Metropolitana)",700.000,,"0,02 UF/m²",,1000 m²,350 m²,4,3,2,45000 CLP,,,,,
49,Se Arrienda Bonita Casa Un Ambiente ,Casa,Publicado hace 1 día,2021-07-01,"Julio Silva 1 - 300, Curacaví, RM (Metropolitana)",330.000,,"0,02 UF/m²",,450 m²,55 m²,1,1,1,,,,,,
50,Se Arrienda Acogedora Casa En Sector Centro De Curacavi,Casa,Publicado hace 1 día,2021-07-01,"Presviterio 1 - 300, Curacaví, RM (Metropolitana)",450.000,,"0,03 UF/m²",,445 m²,80 m²,3,3,2,,,,,,
51,Preciosa Casa Tipo Mediterranea 2 Pisos Frente A La Fach ,Casa,Publicado hace 2 días,2021-07-01,"Verdi 1 - 300, El Bosque, RM (Metropolitana)",350.000,,,,100 m²,78 m²,3,1,,,,,,,
52,Arriendo Amplia Casa Ubicada En El  Sector De El Bosque,Casa,Publicado hace 1 día,2021-07-01,"Camino Del Inca 1 - 300, Lo Martinez, El Bosque, RM (Metropolitana)",480.000,,,,218 m²,200 m²,3,1,1,,,,,,
53,Calle Berta Correa 1674,Casa,Publicado hace 8 meses,2021-07-01,"Calle Berta Correa 1674, Pedro Fontova, Huechuraba, RM (Metropolitana)",40,1.188.512,"0,28 UF/m²",,144 m²,111 m²,4,2,,,,,,,
54,Arrendada / Comercial...!!! Av. Guanaco Norte / Av. Pedr...,Casa,Publicado hace 3 meses,2021-07-01,"Arrendada / Comercial...!!! Av. Guanaco Norte / Av. Pedro Fontova, Pedro Fontova, Huechuraba, RM (Metropolitana)",850.000,,"0,19 UF/m²",,150 m²,105 m²,4,2,2,,,,,,
55,"Arrendada / Casa Dentro De Condominio, Entrega Inmediata.",Casa,Publicado hace 2 meses,2021-07-01,"Santa Ana 1815 C, Pedro Fontova, Huechuraba, RM (Metropolitana)",890.000,,"0,11 UF/m²",,280 m²,140 m²,3,3,2,40000 CLP,,,,,
56,Arrendada / Av. Santa Marta / Berta Correa,Casa,Publicado hace 2 meses,2021-07-01,"Arrendada / Av. Santa Marta / Berta Correa, Pedro Fontova, Huechuraba, RM (Metropolitana)",900.000,,"0,14 UF/m²",,220 m²,110 m²,3,3,2,,,,,,
57,La Mejor Ubicacion.,Casa,Publicado hace 36 días,2021-07-01,"Avenida Los Dátiles 5400 - 5700, Pedro Fontova, Huechuraba, RM (Metropolitana)",900.000,,"0,17 UF/m²",,180 m²,120 m²,3,3,2,70000 CLP,,,,,
58,"Condominio El Almendro, Detrás De La Ciudad Empresarial",Casa,Publicado hace 33 días,2021-07-01,"Los Alamos 600 - 900, Bosques de la Pirámide, Huechuraba, RM (Metropolitana)",1.700.000,,"0,19 UF/m²",,300 m²,226 m²,5,5,2,170000 CLP,,,,,
59,Arrendada / Excelente Casa Aislada Dentro De Condominio.,Casa,Publicado hace 29 días,2021-07-01,"Camino Del Roble 1500 - 1800, Pedro Fontova, Huechuraba, RM (Metropolitana)",1.100.000,,"0,14 UF/m²",,260 m²,130 m²,3,3,2,85000 CLP,,,,,
60,Condominio Los Bellotos!!!,Casa,Publicado hace 19 días,2021-07-01,"El Roble 1200 - 1500, Pedro Fontova, Huechuraba, RM (Metropolitana)",1.100.000,,"0,08 UF/m²",,480 m²,160 m²,5,5,4,120000 CLP,,,,,
61,Arrendada/ Casa/ Comercial /  Micro Empresa Familiar,Casa,Publicado hace 15 días,2021-07-01,"Avenida El Guanaco Norte 1500 - 1800, Pedro Fontova, Huechuraba, RM (Metropolitana)",900.000,,"0,16 UF/m²",,195 m²,105 m²,3,3,3,,,,,,
62,"Excelente Propiedad, Gran Seguridad!!",Casa,Publicado hace 1 día,2021-07-01,"Avenida Los Dátiles 5400 - 5700, Pedro Fontova, Huechuraba, RM (Metropolitana)",900.000,,"0,16 UF/m²",,190 m²,125 m²,3,3,2,70000 CLP,,,,,
63,Casa Remodelada,Casa,Publicado hace 1 día,2021-07-01,"Los Mirlos 6600 - 6900, Los Libertadores, Huechuraba, RM (Metropolitana)",370.000,,"0,08 UF/m²",,150 m²,80 m²,2,1,2,,,,,,
64,Propiedad Ideal Oficina,Casa,Publicado hace 4 días,2021-07-01,"Palermo 1500, Plaza Chacabuco, Independencia, RM (Metropolitana)",50,1.485.640,,,310 m²,160 m²,2,3,1,,,,,,
65,Arriendo Parcela De Agrado En Sector Carampangue Isla De Mai,Casa,Publicado hace 43 días,2021-07-01,"Carampangue 300 - 600, Trebulco, Talagante, RM (Metropolitana)",1.500.000,,0 UF/m²,,40000 m²,230 m²,4,3,2,,,,,,
66,Mons Vives 10441,Casa,Publicado hace 3 meses,2021-07-01,"Mons Vives 10441, San José de La Estrella, La Florida, RM (Metropolitana)",380.000,,"0,09 UF/m²",,150 m²,70 m²,4,2,2,,,,,,
67,Dueño Arrienda Casa Gasto Comun Incluido.,Casa,Publicado hace 37 días,2021-07-01,"Eeuu 8641, Rojas Magallanes, La Florida, RM (Metropolitana)",31,921.097,"0,24 UF/m²",,126.7 m²,110 m²,3,3,2,,,,,,
68,Hermosa Casa Recién Construida Santa Sofía De Lo Cañas,Casa,Publicado hace 49 días,2021-07-01,"Longuitudinal Sur 1 - 300, Lo Cañas - Alto Macul, La Florida, RM (Metropolitana)",1.100.000,,"0,06 UF/m²",,600 m²,130 m²,3,2,5,,,,,,
69,Casa Recién Construida Santa Sofía De Lo Cañas,Casa,Publicado hace 49 días,2021-07-01,"Longuitudinal Sur 1 - 300, Lo Cañas - Alto Macul, La Florida, RM (Metropolitana)",1.100.000,,"0,06 UF/m²",,600 m²,130 m²,3,2,5,,,,,,
70,Linda Casa Esquina Ponce Zamora,Casa,Publicado hace 2 días,2021-07-01,"Ponce De Zamora 9000 - 9300, La Florida Alto, La Florida, RM (Metropolitana)",580.000,,"0,1 UF/m²",,200 m²,95 m²,3,2,2,,,,,,
71,Valle Grande,Casa,Publicado hace 20 días,2021-07-01,"Valle Grande, Valle Grande, Lampa, RM (Metropolitana)",850.000,,"0,14 UF/m²",,200 m²,130 m²,3,3,,,1 años,,,,
72,Casa Modelo Pullay Con Quincho Y Piscina En Condominio ,Casa,Publicado hace 3 días,2021-07-01,"Avenida El Rodeo 900 - 1200, Chicauma, Lampa, RM (Metropolitana)",950.000,,"0,13 UF/m²",,250 m²,151 m²,4,3,1,,,,,,
73,Excelente Propiedad Ubicada En Quillay 2499 Larapinta Lampa,Casa,Publicado hace 1 día,2021-07-01,"Quillay 2499, Lampa, RM (Metropolitana)",21,623.969,"0,25 UF/m²",,85 m²,220 m²,3,3,2,,,,,,
74,Arriendo Hermosa Casa,Casa,Publicado hace 11 meses,2021-07-01,"Arriendo Hermosa Casa, La Reina Alta, La Reina, RM (Metropolitana)",3.600.000,,"0,03 UF/m²",,3525 m²,582 m²,4,5,,,,,,,
75,Avenida Larrain 6754,Casa,Publicado hace 11 meses,2021-07-01,"Avenida Larrain 6754, Metro Simón Bolivar, La Reina, RM (Metropolitana)",79,2.347.311,"0,16 UF/m²",,480 m²,250 m²,5,4,,,,,,,
76,Alvaro Casanova / Colegio Dominicos,Casa,Publicado hace 10 meses,2021-07-01,"Alvaro Casanova / Colegio Dominicos, La Reina Alta, La Reina, RM (Metropolitana)",122,3.624.961,"0,06 UF/m²",,2145.13 m²,746 m²,7,7,10,,,,,,
77,Country Club,Casa,Publicado hace 10 meses,2021-07-01,"Country Club, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",100,2.971.280,"0,29 UF/m²",,350 m²,250 m²,5,4,,,,,,,
78,Onofre Jarpa / Zona G,Casa,Publicado hace 10 meses,2021-07-01,"Onofre Jarpa / Zona G, La Reina Alta, La Reina, RM (Metropolitana)",3.800.000,,"0,03 UF/m²",,4500 m²,500 m²,7,6,,,,,,,
79,Casa Comercial ,Casa,Publicado hace 3 meses,2021-07-01,"Moseñor Edwards 900 - 1200, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",59,1.753.055,"0,12 UF/m²",,500 m²,250 m²,4,4,4,,,,,,
80,Príncipe De Gales / Padre Hurtado,Casa,Publicado hace 3 meses,2021-07-01,"Príncipe De Gales / Padre Hurtado, Carlos Ossandón, La Reina, RM (Metropolitana)",120,3.565.536,"0,15 UF/m²",,800 m²,222 m²,10,5,10,,,,,,
81,Hermosa Y Acogedora Casa En La Reina,Casa,Publicado hace 2 meses,2021-07-01,"Hermosa Y Acogedora Casa En La Reina, Carlos Ossandón, La Reina, RM (Metropolitana)",1.800.000,,"0,16 UF/m²",,382 m²,210 m²,6,5,,,,,,,
82,Tobalaba 7901,Casa,Publicado hace 2 meses,2021-07-01,"Tobalaba 7901, Blest Gana, La Reina, RM (Metropolitana)",2.100.000,,"0,11 UF/m²",,650 m²,200 m²,8,5,7,,,,,,
83,Av. Larraín / Tobalaba Uso Comercial O Residencial,Casa,Publicado hace 2 meses,2021-07-01,"Av. Larraín / Tobalaba Uso Comercial O Residencial, Metro Simón Bolivar, La Reina, RM (Metropolitana)",95,2.822.716,"0,2 UF/m²",,480 m²,230 m²,4,3,,,,,,,
84,Moderna Y Espaciosa Propiedad Colindante Al Country Club,Casa,Publicado hace 2 meses,2021-07-01,"Monseñor Edwards 2400 - 2700, Metro Príncipe de Gales - Country Club, La Reina, RM (Metropolitana)",95,2.822.716,"0,23 UF/m²",,405 m²,236 m²,4,4,3,,,,,,
85,"Arriendo Casa 5 Dormitorios, La Reina",Casa,Publicado hace 59 días,2021-07-01,"Palmas De Mallorca 40, Palmas de Mallorca, La Reina, RM (Metropolitana)",1.250.000,,"0,17 UF/m²",,245 m²,136 m²,5,3,3,,,,,,
86,"Casa De 5 Dormitorios En Condominio, Con Piscina",Casa,Publicado hace 56 días,2021-07-01,"Avenida Alcalde Fernando Castillo Velasco 7200 - 7500, Carlos Ossandón, La Reina, RM (Metropolitana)",1.500.000,,"0,17 UF/m²",,300 m²,130 m²,4,4,2,,,,,,
87,"Espectacular Penthouse Con Rooftop, La Reina!!",Casa,Publicado hace 21 días,2021-07-01,"23 De Febrero 8400 - 8700, Carlos Ossandón, La Reina, RM (Metropolitana)",2.000.000,,"0,27 UF/m²",,254 m²,174 m²,3,3,3,250000 CLP,,,,,
88,Maravillosa Casa Comuna La Reina,Casa,Publicado hace 43 días,2021-07-01,"José Zapiola 8400 - 8700, Carlos Ossandón, La Reina, RM (Metropolitana)",2.500.000,,"0,07 UF/m²",,1286 m²,321 m²,7,5,5,0 CLP,20 años,2,,,
89,"Amplio Frente De 20 Metros, Cercano A Comercio, Bancos, Etc.",Casa,Publicado hace 31 días,2021-07-01,"Carlos Ossandon 944, Carlos Ossandón, La Reina, RM (Metropolitana)",277,8.230.445,"0,09 UF/m²",,3000 m²,200 m²,7,6,7,,,,,,
90,Hermosa Casa En La Reina Con Extenso Terreno,Casa,Publicado hace 28 días,2021-07-01,"Parsifal 6600 - 6900, Palmas de Mallorca, La Reina, RM (Metropolitana)",1.900.000,,"0,11 UF/m²",,589 m²,248 m²,5,3,4,,,,,,
91,Casa Comercial Av Ossa ,Casa,Publicado hace 27 días,2021-07-01,"Avenida Ossa 1800 - 2100, Troncos Viejos, La Reina, RM (Metropolitana)",89,2.644.439,"0,35 UF/m²",,255 m²,120 m²,4,4,5,,,,,,
92,Estupenda Casa En Condominio A La Venta En La Reina,Casa,Publicado hace 27 días,2021-07-01,"Carlos Silva Vildosola 9600 - 9900, Carlos Ossandón, La Reina, RM (Metropolitana)",1.700.000,,"0,17 UF/m²",,350 m²,170 m²,4,3,,,,,,,
93,"Se Arrienda Linda Casa, Buena Conectividad, Iluminada. ",Casa,Publicado hace 23 días,2021-07-01,"Las Luciérnagas 2100 - 2400, Troncos Viejos, La Reina, RM (Metropolitana)",130,3.862.664,"0,13 UF/m²",,1000 m²,500 m²,8,4,5,,,,,,
94,Residencia Con Diversos Usos A Pasos Metro En La Reina,Casa,Publicado hace 21 días,2021-07-01,"Tobalaba 7800 - 8100, Blest Gana, La Reina, RM (Metropolitana)",1.800.000,,"0,1 UF/m²",,600 m²,200 m²,6,4,5,,,,,,
95,La Reina | Barrio Familiar & Tranquilo!,Casa,Publicado hace 15 días,2021-07-01,"Arquitecto Juan Martinez 1500 - 1800, Carlos Ossandón, La Reina, RM (Metropolitana)",1.500.000,,"0,14 UF/m²",,356 m²,144 m²,4,2,2,,,,,,
96,Country Club  ( Prince Of Wales),Casa,Publicado hace 11 días,2021-07-01,"Monseñor Edwards 3000, La Reina, RM (Metropolitana)",2.400.000,,"0,17 UF/m²",,487 m²,260 m²,5,4,4,,,,,,
97,Espectacular Casona En Condominio,Casa,Publicado hace 9 días,2021-07-01,"Espectacular Casona En Condominio, La Reina Alta, La Reina, RM (Metropolitana)",5.000.000,,"0,04 UF/m²",,4495 m²,700 m²,7,6,,,,,,,
98,"Excelente, Casa Moderna En Condominio",Casa,Publicado hace 9 días,2021-07-01,"Excelente, Casa Moderna En Condominio, La Reina Alta, La Reina, RM (Metropolitana)",2.500.000,,"0,1 UF/m²",,891 m²,298 m²,5,5,,,,,,,
99,"Departamento 3 Dormitorios , 2 Baños, Estacionamiento,",Casa,Publicado hace 8 días,2021-07-01,"Avenida Echeñique 4800 - 5100, Metro Simón Bolivar, Ñuñoa, RM (Metropolitana)",500.000,,"0,19 UF/m²",,90 m²,90 m²,3,2,1,100000 CLP,,,,,
100,"Casa Nueva Estilo Townhouse, Condominio Privado.",Casa,Publicado hace 7 días,2021-07-01,"Javiera Carrera 310, Blest Gana, La Reina, RM (Metropolitana)",1.000.000,,"0,4 UF/m²",,86 m²,86 m²,3,3,2,,,,,,
101,"La Reina, Simon Bolivar, Disponibilidad A Partir 10 Julio",Casa,Publicado hace 2 días,2021-07-01,"Simón Bolívar 6300 - 6600, Palmas de Mallorca, La Reina, RM (Metropolitana)",42,1.247.937,"0,17 UF/m²",,250 m²,150 m²,4,2,2,,,,,,
